Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,62.380001,64.129997,62.200001,63.750000,44.724052,8652700
2009-01-05,63.259998,63.840000,62.889999,63.560001,44.590759,7692900
2009-01-06,63.990002,64.459999,61.830002,62.139999,43.594563,10855700
2009-01-07,61.930000,62.570000,60.840000,61.240002,42.963158,7910400
2009-01-08,60.830002,60.830002,59.700001,60.520000,42.458038,9382300
2009-01-09,60.709999,60.950001,59.849998,60.070000,42.142334,7150700
2009-01-12,60.099998,61.230000,59.750000,60.160000,42.205471,8682900
2009-01-13,60.310001,60.799999,58.820000,59.320000,41.616177,9082600
2009-01-14,58.509998,58.619999,56.410000,57.330002,40.220081,15340200
2009-01-15,57.200001,58.590000,56.549999,57.980000,40.676090,12166300
2009-01-16,58.740002,59.980000,58.540001,59.669998,41.861721,12445800
2009-01-20,59.590000,59.799999,56.910000,57.070000,40.037682,11930300
2009-01-21,57.980000,58.939999,57.160000,58.700001,41.181217,10261400
2009-01-22,58.070000,59.470001,57.689999,58.720001,41.195236,10969400
2009-01-23,57.240002,58.720001,56.750000,58.020000,40.704151,10266100
2009-01-26,57.230000,58.669998,56.450001,58.400002,40.970741,14106700
2009-01-27,58.799999,59.220001,58.299999,58.520000,41.054928,9992800
2009-01-28,59.700001,59.700001,58.310001,59.200001,41.531979,11110700
2009-01-29,58.779999,59.060001,58.020000,58.139999,40.788330,9559400
2009-01-30,58.500000,58.730000,57.369999,58.020000,40.704151,9660800
2009-02-02,57.619999,58.439999,57.450001,57.900002,40.619961,7652100
2009-02-03,58.290001,59.150002,57.189999,58.880001,41.307495,8104300
2009-02-04,59.169998,59.770000,57.500000,57.860001,40.591900,9266600
2009-02-05,57.500000,58.580002,57.070000,58.360001,40.942673,11066500
2009-02-06,58.119999,59.330002,58.119999,58.459999,41.012829,10788700
2009-02-09,59.029999,59.430000,58.049999,59.020000,41.405693,12359600
2009-02-10,59.000000,59.020000,56.880001,57.279999,40.185013,13322500
2009-02-11,57.490002,57.849998,56.630001,57.080002,40.044693,9579700
2009-02-12,56.790001,57.049999,55.630001,56.959999,39.960506,12798000
2009-02-13,57.060001,57.590000,56.689999,56.810001,39.855267,6976700
2009-02-17,55.900002,56.410000,55.259998,55.680000,39.062515,9744100
2009-02-18,56.000000,56.560001,55.549999,56.410000,39.574646,9489500
2009-02-19,55.919998,57.110001,55.310001,55.310001,38.802940,9524500
2009-02-20,54.880001,55.230000,54.049999,54.570000,38.283787,13541100
2009-02-23,54.750000,55.389999,53.689999,53.869999,37.792694,10856700
2009-02-24,54.220001,54.939999,53.919998,54.759998,38.417088,10903500
2009-02-25,54.400002,55.150002,53.919998,54.290001,38.087357,11531100
2009-02-26,54.520000,54.689999,52.060001,52.200001,36.961510,10170800
2009-02-27,51.570000,52.919998,51.500000,52.250000,36.996929,13381500
2009-03-02,51.799999,52.630001,51.279999,51.849998,36.713699,13245200
2009-03-03,52.139999,53.570000,52.139999,52.430000,37.124367,14878300
2009-03-04,53.099998,53.700001,52.290001,53.150002,37.634197,11618400
2009-03-05,52.360001,52.500000,50.439999,50.860001,36.012691,15550300
2009-03-06,51.240002,52.189999,50.900002,52.119999,36.904873,18185800
2009-03-09,51.689999,53.459999,51.310001,52.320000,37.046494,17924500
2009-03-10,52.830002,53.500000,52.070000,52.599998,37.244743,17334300
2009-03-11,52.509998,52.939999,50.689999,51.029999,36.133064,16622700
2009-03-12,51.389999,52.430000,50.509998,52.169998,36.940266,15302200
2009-03-13,52.669998,52.970001,51.869999,52.380001,37.088982,11354900
2009-03-16,52.650002,52.930000,51.549999,51.689999,36.600403,9883400
2009-03-17,51.700001,53.700001,51.360001,53.639999,37.981148,13657500
2009-03-18,53.439999,55.549999,53.419998,55.419998,39.241516,12896800
2009-03-19,55.580002,55.840000,54.299999,54.709999,38.738777,10356000
2009-03-20,54.480000,55.230000,52.939999,53.200001,37.669582,13789400
2009-03-23,53.970001,55.169998,53.099998,55.160000,39.057426,10846700
2009-03-24,55.000000,55.000000,53.380001,53.560001,37.924496,9836100
2009-03-25,54.060001,55.040001,53.250000,55.009998,38.951206,10880900
2009-03-26,55.490002,56.090000,54.779999,56.060001,39.694679,11095700
2009-03-27,55.459999,55.900002,54.840000,55.009998,38.951206,6636500
2009-03-30,54.000000,54.169998,53.029999,53.919998,38.179405,8702800
2009-03-31,54.299999,55.349998,54.270000,54.570000,38.639652,9044500
2009-04-01,54.299999,55.330002,53.869999,55.240002,39.114063,8279200
2009-04-02,55.939999,57.060001,55.630001,56.349998,39.900017,8797600
2009-04-03,56.200001,56.639999,55.560001,56.639999,40.105366,7175700
2009-04-06,56.470001,56.610001,55.599998,55.939999,39.609718,6494800
2009-04-07,55.639999,55.770000,54.599998,55.400002,39.227356,7128900
2009-04-08,55.459999,55.830002,55.049999,55.560001,39.340641,5825800
2009-04-09,56.290001,57.270000,56.160000,56.669998,40.126614,7291800
2009-04-13,56.340000,56.660000,55.900002,56.110001,39.730087,5506400
2009-04-14,55.799999,55.900002,54.520000,54.820000,38.816681,8601200
2009-04-15,54.049999,54.180000,53.029999,53.950001,38.200657,12180300
